condition,whichtalk,concept_score,factual_score,better_laptop_or_long,SAT_combined
laptop,1,2.0,4.0,6.0,2180.0
laptop,1,3.0,7.0,7.0,2100.0
laptop,1,3.0,6.0,5.0,2340.0
laptop,1,3.0,7.0,5.0,2310.0
longhand,1,3.0,7.0,6.0,2310.0
laptop,1,4.0,2.0,4.0,
longhand,1,4.0,12.0,2.0,2300.0
longhand,1,4.0,10.0,1.0,2400.0
longhand,1,4.0,8.0,7.0,
laptop,1,5.0,9.0,2.0,2350.0
longhand,1,5.0,5.0,5.0,2140.0
longhand,1,5.0,10.0,6.0,2310.0
longhand,1,5.0,9.0,5.0,2267.0
longhand,1,6.0,9.0,5.0,2300.0
longhand,2,1.0,3.0,6.0,2060.0
longhand,2,1.0,6.0,6.0,
laptop,2,2.0,4.0,4.0,2170.0
laptop,2,2.0,5.0,4.0,2310.0
laptop,2,3.0,2.0,6.0,2280.0
longhand,2,3.0,6.0,5.0,2370.0
laptop,2,4.0,6.0,4.0,2180.0
longhand,2,4.0,8.0,7.0,2330.0
longhand,2,5.0,8.0,6.0,2310.0
longhand,2,5.0,8.0,6.0,2330.0
laptop,2,6.0,7.0,5.0,2240.0
longhand,2,6.0,6.0,1.0,2340.0
longhand,2,6.0,5.0,6.0,2190.0
laptop,3,3.0,5.0,4.0,
longhand,3,3.0,4.0,2.0,2370.0
laptop,3,4.0,3.0,4.0,2320.0
laptop,3,4.0,3.0,6.0,2130.0
laptop,3,4.0,7.0,1.0,2260.0
laptop,3,4.0,5.0,1.0,2380.0
longhand,3,4.0,6.0,6.0,2400.0
longhand,3,4.0,3.0,4.0,2310.0
laptop,3,5.0,6.0,2.0,2360.0
laptop,3,5.0,6.0,6.0,2350.0
longhand,3,5.0,4.0,5.0,2190.0
longhand,3,5.0,4.0,5.0,2160.0
laptop,3,6.0,5.0,3.0,2370.0
longhand,3,6.0,1.0,7.0,2370.0
longhand,4,0.0,8.0,6.0,
laptop,4,2.0,6.0,2.0,2350.0
laptop,4,2.0,10.0,3.0,2020.0
longhand,4,3.0,4.0,7.0,2200.0
laptop,4,4.0,9.0,4.0,2180.0
laptop,4,5.0,11.0,4.0,
laptop,4,5.0,5.0,1.0,2280.0
laptop,4,5.0,5.0,2.0,2230.0
longhand,4,5.0,8.0,2.0,2200.0
longhand,4,6.0,12.0,6.0,2250.0
longhand,4,6.0,8.0,4.0,2330.0
longhand,4,6.0,11.0,4.0,2350.0
laptop,5,2.0,2.0,7.0,2300.0
laptop,5,3.0,7.0,3.0,2270.0
laptop,5,3.0,3.0,4.0,2100.0
laptop,5,4.0,5.0,7.0,2340.0
longhand,5,4.0,5.0,6.0,2350.0
longhand,5,4.0,1.0,3.0,2210.0
longhand,5,4.0,5.0,5.0,2340.0
longhand,5,4.0,6.0,5.0,2270.0
laptop,5,5.0,5.0,6.0,2250.0
laptop,5,5.0,6.0,5.0,2180.0
longhand,5,5.0,4.0,2.0,2130.0
longhand,5,5.0,4.0,5.0,2260.0
