volunteer,group,test,nb_released,no_odour,volunt_odour,activated,co2no,co2od,temp,trapside,datetime
subj1,beer,before,50,7,9,16,305.0,321.0,36.1,A,2007-08-28 19:00:00
subj2,beer,before,50,26,7,33,338.0,720.0,35.3,B,2007-08-28 21:00:00
subj3,beer,before,50,5,10,15,348.0,355.0,36.1,B,2007-09-15 19:00:00
subj4,beer,before,50,3,7,10,349.0,437.0,35.6,A,2007-09-25 17:00:00
subj5,beer,before,50,2,8,10,396.0,475.0,37.0,B,2007-09-25 18:00:00
subj6,beer,before,50,15,15,30,368.0,441.0,36.8,A,2007-09-25 19:00:00
subj7,beer,before,50,13,2,15,404.0,567.0,36.7,B,2007-10-01 18:00:00
subj8,beer,before,50,8,9,17,397.0,730.0,36.9,A,2007-10-01 19:00:00
subj9,beer,before,50,13,10,23,396.0,725.0,36.5,B,2007-10-01 20:00:00
subj10,beer,before,50,7,1,8,308.0,569.0,36.6,A,2007-10-04 17:30:00
subj11,beer,before,50,14,17,31,329.0,724.0,36.0,B,2007-10-04 19:30:00
subj12,beer,before,50,10,5,15,300.0,456.0,36.2,A,2007-10-05 19:00:00
subj13,beer,before,50,9,17,26,290.0,371.0,35.2,B,2007-10-07 19:00:00
subj14,beer,before,50,1,4,5,371.0,404.0,36.3,A,2007-10-10 19:00:00
subj15,beer,before,50,10,8,18,400.0,657.0,36.2,B,2007-10-12 19:00:00
subj16,beer,before,50,9,3,12,318.0,630.0,36.2,A,2007-10-17 18:00:00
subj17,beer,before,50,10,12,22,352.0,739.0,36.1,A,2007-10-17 20:00:00
subj18,beer,before,50,7,6,13,420.0,859.0,36.1,B,2007-10-19 18:30:00
subj19,beer,before,50,9,21,30,354.0,484.0,36.4,B,2007-10-19 20:30:00
subj20,beer,before,50,8,14,22,287.0,400.0,,A,2007-10-23 19:00:00
subj21,beer,before,50,5,5,10,382.0,626.0,36.5,A,2007-10-24 19:00:00
subj22,beer,before,50,8,12,20,315.0,449.0,36.1,A,2007-10-24 21:00:00
subj23,beer,before,50,12,4,16,350.0,796.0,36.6,A,2007-10-25 19:00:00
subj24,beer,before,50,6,6,12,301.0,1038.0,36.9,B,2007-10-27 19:00:00
subj25,beer,before,50,2,3,5,,,36.4,A,2007-10-31 19:00:00
subj26,water,before,50,13,8,21,312.0,390.0,36.3,A,2007-10-04 18:30:00
subj27,water,before,50,7,11,18,350.0,483.0,36.2,B,2007-10-04 20:30:00
subj28,water,before,50,26,11,37,330.0,756.0,36.8,B,2007-10-05 18:00:00
subj29,water,before,50,5,10,15,358.0,530.0,37.3,A,2007-10-07 18:00:00
subj30,water,before,50,12,9,21,326.0,515.0,35.9,A,2007-10-07 20:00:00
subj31,water,before,50,6,0,6,390.0,570.0,36.5,B,2007-10-10 18:00:00
subj32,water,before,50,2,8,10,370.0,534.0,36.7,B,2007-10-10 20:00:00
subj33,water,before,50,10,12,22,337.0,508.0,36.3,A,2007-10-12 18:00:00
subj34,water,before,50,3,20,23,330.0,820.0,36.4,B,2007-10-17 19:00:00
subj35,water,before,50,4,7,11,350.0,400.0,36.5,B,2007-10-17 21:00:00
subj36,water,before,50,12,9,21,356.0,552.0,35.7,A,2007-10-19 19:30:00
subj37,water,before,50,6,15,21,341.0,478.0,36.1,A,2007-10-19 21:30:00
subj38,water,before,50,13,17,30,,,,B,2007-10-23 18:00:00
subj39,water,before,50,13,7,20,280.0,840.0,35.3,B,2007-10-24 18:00:00
subj40,water,before,50,16,13,29,301.0,502.0,36.3,B,2007-10-24 20:00:00
subj41,water,before,50,11,7,18,327.0,480.0,36.3,B,2007-10-25 18:00:00
subj42,water,before,50,1,6,7,298.0,368.0,36.2,A,2007-10-27 18:00:00
subj43,water,before,50,3,4,7,374.0,860.0,36.7,B,2007-10-31 19:00:00
subj1,beer,after,50,2,12,14,319.0,311.0,36.1,A,2007-08-28 19:00:00
subj2,beer,after,50,24,9,33,308.0,659.0,35.2,B,2007-08-28 21:00:00
subj3,beer,after,50,2,25,27,356.0,349.0,36.2,B,2007-09-15 19:00:00
subj4,beer,after,50,0,11,11,347.0,443.0,35.7,A,2007-09-25 17:00:00
subj5,beer,after,50,1,11,12,376.0,656.0,36.0,B,2007-09-25 18:00:00
subj6,beer,after,50,3,24,27,382.0,446.0,36.7,A,2007-09-25 19:00:00
subj7,beer,after,50,13,13,26,400.0,549.0,36.5,B,2007-10-01 18:00:00
subj8,beer,after,50,13,12,25,382.0,745.0,36.7,A,2007-10-01 19:00:00
subj9,beer,after,50,17,10,27,402.0,643.0,36.5,B,2007-10-01 20:00:00
subj10,beer,after,50,11,16,27,310.0,423.0,36.5,A,2007-10-04 17:30:00
subj11,beer,after,50,6,16,22,332.0,884.0,36.1,B,2007-10-04 19:30:00
subj12,beer,after,50,18,18,36,322.0,365.0,35.7,A,2007-10-05 19:00:00
subj13,beer,after,50,14,23,37,304.0,374.0,35.3,B,2007-10-07 19:00:00
subj14,beer,after,50,0,3,3,380.0,750.0,36.1,A,2007-10-10 19:00:00
subj15,beer,after,50,16,7,23,403.0,619.0,36.1,B,2007-10-12 19:00:00
subj16,beer,after,50,4,3,7,322.0,660.0,36.2,A,2007-10-17 18:00:00
subj17,beer,after,50,5,20,25,347.0,644.0,36.0,A,2007-10-17 20:00:00
subj18,beer,after,50,7,10,17,401.0,768.0,35.8,B,2007-10-19 18:30:00
subj19,beer,after,50,7,29,36,330.0,470.0,36.2,B,2007-10-19 20:30:00
subj20,beer,after,50,4,27,31,413.0,295.0,,A,2007-10-23 19:00:00
subj21,beer,after,50,10,20,30,300.0,488.0,36.2,A,2007-10-24 19:00:00
subj22,beer,after,50,5,17,22,319.0,400.0,36.1,A,2007-10-24 21:00:00
subj23,beer,after,50,10,10,20,377.0,695.0,36.1,A,2007-10-25 19:00:00
subj24,beer,after,50,19,10,29,300.0,987.0,36.8,B,2007-10-27 19:00:00
subj25,beer,after,50,10,13,23,,,36.2,A,2007-10-31 19:00:00
subj26,water,after,50,23,10,33,311.0,,36.3,A,2007-10-04 18:30:00
subj27,water,after,50,10,13,23,,,36.0,B,2007-10-04 20:30:00
subj28,water,after,50,15,8,23,345.0,749.0,36.7,B,2007-10-05 18:00:00
subj29,water,after,50,7,6,13,350.0,458.0,37.0,A,2007-10-07 18:00:00
subj30,water,after,50,15,9,24,368.0,522.0,35.7,A,2007-10-07 20:00:00
subj31,water,after,50,6,2,8,403.0,655.0,36.4,B,2007-10-10 18:00:00
subj32,water,after,50,1,3,4,375.0,608.0,36.7,B,2007-10-10 20:00:00
subj33,water,after,50,10,11,21,328.0,454.0,36.2,A,2007-10-12 18:00:00
subj34,water,after,50,10,14,24,350.0,780.0,36.2,B,2007-10-17 19:00:00
subj35,water,after,50,7,14,21,354.0,437.0,36.4,B,2007-10-17 21:00:00
subj36,water,after,50,13,13,26,350.0,546.0,35.2,A,2007-10-19 19:30:00
subj37,water,after,50,8,19,27,376.0,452.0,36.0,A,2007-10-19 21:30:00
subj38,water,after,50,14,8,22,,,,B,2007-10-23 18:00:00
subj39,water,after,50,17,4,21,294.0,992.0,36.1,B,2007-10-24 18:00:00
subj40,water,after,50,10,15,25,299.0,471.0,36.0,B,2007-10-24 20:00:00
subj41,water,after,50,14,6,20,349.0,569.0,36.1,B,2007-10-25 18:00:00
subj42,water,after,50,2,5,7,290.0,343.0,35.7,A,2007-10-27 18:00:00
subj43,water,after,50,2,1,3,350.0,812.0,36.0,B,2007-10-31 19:00:00
