rank,team,played,won,drawn,lost,for,against,goal_difference,points,wages_year,keeper,defense,midfield,forward
1,Manchester City,38,29,6,3,99,26,73,93,168572,8892,60320,24500,74860
2,Liverpool,38,28,8,2,94,26,68,92,148772,14560,46540,47320,40352
3,Chelsea,38,21,11,6,76,33,43,74,187340,12480,51220,51100,72540
4,Tottenham Hotspur,38,22,5,11,69,40,29,71,110416,6760,29516,30680,43460
5,Arsenal,38,22,3,13,61,48,13,69,118074,8400,37024,27300,45350
6,Manchester United,38,16,10,12,57,57,0,58,238780,28600,60480,36920,112780
7,West Ham United,38,16,8,14,60,51,9,56,77936,11856,28860,10180,27040
8,Leicester City,38,14,10,14,62,59,3,52,81590,10040,28040,18070,25440
9,Brighton and Hove Albion,38,12,15,11,42,44,-2,51,49820,3120,17640,12270,16790
10,Wolverhampton Wanderers,38,15,6,17,38,43,-5,51,62756,2120,20736,13080,26820
11,Newcastle United,38,13,10,15,44,62,-18,49,73308,4940,27276,17052,24040
12,Crystal Palace,38,11,15,12,50,46,4,48,71910,6000,20930,18980,26000
13,Brentford,38,13,7,18,48,56,-8,46,28606,2080,8686,8220,9620
14,Aston Villa,38,13,6,19,52,54,-2,45,85330,8320,26160,14380,36470
15,Southampton,38,9,13,16,43,67,-24,40,58657,9270,12137,15720,21530
16,Everton,38,11,6,21,43,66,-23,39,110202,8060,31512,31320,39310
17,Leeds United,38,9,11,18,42,79,-37,38,37354,2080,13150,3980,18144
18,Burnley,38,7,14,17,34,53,-19,35,40830,2900,14940,7880,15110
19,Watford,38,6,5,27,34,77,-43,23,42030,2580,14880,15290,9280
20,Norwich City,38,5,7,26,23,84,-61,22,31750,3480,14760,7230,6280
